Application Name, Application Label, Group ID, Role, SAML Role
amazon_aws,AW-PRO-IT-GSD-FLEX_LINK-JUL-15,00g9s16ba1Qm23E9o2p7,FlexLink_ReadyOnly,FlexLink_ReadyOnly
amazon_aws,AW-PRO-IT-HRIT-Workday_Integ-Nov-18-RITM4359605,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,Flex_FullAccess
amazon_aws,AW-PRO-IT-HRIT-Workday_Integ-Nov-18-RITM4359605,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,Flex_RDS_PowerUser
amazon_aws,AW-PRO-IT-HRIT-Workday_Integ-Nov-18-RITM4359605,00g21mjv1jFHENBWC2p7,Flex_RDS_PowerUser,Flex_RDS_PowerUser
amazon_aws,AW-PRO-IT-HRIT-Workday_Integ-Nov-18-RITM4359605,00g2o0477l1reWaCc2p7,AWSServiceRoleForOrganizations,Flex_RDS_PowerUser
amazon_aws,AW-PRO-IT-HRIT-Workday_Integ-Nov-18-RITM4359605,00g26o4hc5GxuLm6m2p7,AWSServiceRoleForOrganizations,AM-UG-AWS-SnowFlake_Ops
amazon_aws,AW-PRO-IT-EIT-CONNECTIVITY-NOV-18,00g4hicci0TZ2zF7q0x7,Flex_Full_Access,Flex_Full_Access
amazon_aws,AW-PRO-IT-EIT-CONNECTIVITY-NOV-18,00g4hicci0TZ2zF7q0x7,Flex_Full_Access,Flex_VPC_EC2_Full
amazon_aws,AW-PRO-IT-EIT-CONNECTIVITY-NOV-18,00g2o0475tVrON6dS2p7,Flex_VPC_EC2_Full,Flex_VPC_EC2_Full
amazon_aws,AW-PRO-IT-EIT-CONNECTIVITY-NOV-18,00g23bwer9RvukXzs2p7,AWSServiceRoleForOrganizations,Connectivity-ESO-L2_Ops
amazon_aws,AW-PRO-IT-EIT-CONNECTIVITY-NOV-18,00g23bwer9RvukXzs2p7,AWSServiceRoleForOrganizations,Flex_VPC_EC2_Full
amazon_aws,AW-PRO-IT-EIT-CONNECTIVITY-NOV-18,00g9s16ba1Qm23E9o2p7,Connectivity-EIT_ReadOnly,Connectivity-EIT_ReadOnly
amazon_aws,AW-PRO-IT-EIT-CVT-JAN-19,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForOrganizations,FULL_Admin_AW-PRO-IT-EIT-CVT
amazon_aws,AW-PRO-IT-EIT-CVT-JAN-19,00g9wo2ycydr8GFtP2p7,ESO_CVT_CloudOps,ESO_CVT_CloudOps
